"seqnames";"start";"end";"width";"strand";"Conc";"Conc_dex";"Conc_veh";"Fold";"p.value";"FDR";"MPIPSYKL_003787";"MPIPSYKL_004171";"MPIPSYKL_002604";"MPIPSYKL_004054";"MPIPSYKL_001113";"MPIPSYKL_004100";"MPIPSYKL_003331";"MPIPSYKL_003520";"MPIPSYKL_004215";"MPIPSYKL_001946";"MPIPSYKL_004251";"MPIPSYKL_002802";"MPIPSYKL_003162";"MPIPSYKL_002658";"MPIPSYKL_002613";"MPIPSYKL_003231";"MPIPSYKL_002533";"MPIPSYKL_002418";"MPIPSYKL_001109";"MPIPSYKL_001786";"MPIPSYKL_003934";"MPIPSYKL_004246";"MPIPSYKL_001547";"MPIPSYKL_000637";"MPIPSYKL_001386";"MPIPSYKL_002468";"MPIPSYKL_002088";"MPIPSYKL_000972";"MPIPSYKL_003785";"MPIPSYKL_001389";"MPIPSYKL_003155";"MPIPSYKL_000708";"MPIPSYKL_001886";"MPIPSYKL_003013";"MPIPSYKL_000988";"MPIPSYKL_003472";"MPIPSYKL_003911";"MPIPSYKL_001701";"MPIPSYKL_002383";"MPIPSYKL_001766";"MPIPSYKL_002852";"MPIPSYKL_001263";"MPIPSYKL_003353";"MPIPSYKL_001667";"MPIPSYKL_002319";"MPIPSYKL_001048";"MPIPSYKL_002095";"MPIPSYKL_000637.1";"MPIPSYKL_002418.1";"MPIPSYKL_001701.1";"MPIPSYKL_003231.1";"MPIPSYKL_001263.1";"MPIPSYKL_001786.1";"MPIPSYKL_001946.1";"MPIPSYKL_000972.1";"MPIPSYKL_003331.1";"MPIPSYKL_003520.1";"MPIPSYKL_000988.1";"MPIPSYKL_004171.1";"MPIPSYKL_001766.1";"MPIPSYKL_003353.1";"MPIPSYKL_002319.1";"MPIPSYKL_001109.1";"MPIPSYKL_004251.1";"MPIPSYKL_000708.1";"MPIPSYKL_002095.1";"MPIPSYKL_002468.1";"MPIPSYKL_003472.1";"MPIPSYKL_004054.1";"MPIPSYKL_002802.1";"MPIPSYKL_003934.1";"MPIPSYKL_002383.1";"MPIPSYKL_004215.1";"MPIPSYKL_001113.1";"MPIPSYKL_001667.1";"MPIPSYKL_003013.1";"MPIPSYKL_001048.1";"MPIPSYKL_001389.1";"MPIPSYKL_003155.1";"MPIPSYKL_001886.1";"MPIPSYKL_003787.1";"MPIPSYKL_004246.1";"MPIPSYKL_002852.1";"MPIPSYKL_002613.1";"MPIPSYKL_003911.1";"MPIPSYKL_002604.1";"MPIPSYKL_002533.1";"MPIPSYKL_001547.1";"MPIPSYKL_004100.1";"MPIPSYKL_001386.1";"MPIPSYKL_003162.1";"MPIPSYKL_002658.1";"MPIPSYKL_004198";"MPIPSYKL_003785.1";"MPIPSYKL_002088.1"
"KI270517.1";2306;2706;401;"*";6,62;5,94;7,08;-1,12;6,27e-08;2,94e-07;64,56;56,62;121,2;36,26;185,28;8,39;57,19;23,09;82,72;7,68;127,7;56,22;141,11;16,94;69,86;25,92;57,07;125,96;66,92;107,14;16,41;39,79;66,95;75,45;101,55;45,46;27,11;65,85;10,77;30,68;86,78;76,39;27,51;87,88;28,01;150,11;167,75;57,25;49,43;15,23;17,69;60,94;15,49;29,71;78,85;20,17;5,98;120,49;159,77;17,13;59,09;280,35;75,59;99,82;150,11;79,12;43,95;88,86;107,52;0;80,92;153,3;86,76;160,47;190,75;127,87;278,58;234,94;53,88;85,13;166,13;110,12;202,74;72,75;201,22;80,38;65,38;153,73;80,69;64,82;230,55;186,2;304,78;40,15;342,84;205,47;114,89;188,6;110,91;177,45;114,43;220,37;206,77;24,02;81,38
"KI270438.1";109404;109804;401;"*";12,93;12,3;13,36;-1,04;7,21e-08;3,38e-07;4578,41;3901,97;6454,71;4940,39;9985,55;496,14;3667,84;1808,96;5096,94;621,11;8748,81;4318,96;9528,26;932,54;6454,23;4207,05;2617,27;14277,91;11781,46;6841,14;520,75;9865,85;14376,01;10455,96;8230,2;4384,4;1680,83;4357,23;1340,85;2913,56;4399,55;3428,32;2118,6;5593,9;2047,99;6867,74;11742,65;4083,44;4154,36;1610,75;932,66;3598;1307,29;1450,77;9790,48;2926,59;820,73;17263,59;13484,42;2111,87;9843,82;13923,95;6592,92;11387,73;10360,54;5139,21;8606,24;4649,66;8242,31;7200;7986,46;20571,87;8743,17;12830,79;6309,97;15816,84;13272,45;14591,03;6094,25;5601,41;7036,71;7341,2;16231,38;7926,07;9168,69;6499,81;4519,51;13510,59;8922,95;4772,23;18056,37;24193,49;15468,38;4483,9;22203,82;13540,89;6753,45;15681,8;8161,37;13191,66;9081,24;11157,75;18460,6;2343,02;4021,01
"GL000008.2";2653;3053;401;"*";8,18;7,55;8,61;-1,04;7,66e-08;3,59e-07;213,46;125,02;306,46;104;658,23;17,01;190,62;88,65;142,11;19,64;377,42;231,29;558,32;56,87;184,18;146,86;109,66;447,59;376,45;321,41;35,31;234,34;395,61;241,44;154,74;172,18;79,19;153,26;51,16;94,45;194,84;162;69,09;196,21;105,04;249,05;473,9;129,15;154,01;52;35,38;183,96;38,86;33,72;245,55;156,29;24,09;361,46;466,52;70,55;330,88;737,76;266,21;333,67;357,96;227,13;399,18;245,68;301,05;369,01;222,31;434,76;281,62;449,33;286,12;554,09;401,29;479,68;118,68;372,13;458,83;333,69;316,27;516,16;254,37;195,94;278,88;433,47;412,78;193,17;783,86;471,88;712,46;105,8;665,51;806,84;310,5;353,62;292,57;390,39;488,91;707,51;872,31;97,85;193,87
"KI270336.1";235;635;401;"*";3,18;2,36;3,68;-1,44;7,84e-08;3,67e-07;9,37;3,68;10,39;2,86;39,01;0,58;3,18;0,92;5,3;0,9;2,84;8,03;12,27;0,81;6,35;1,44;2,24;13,5;8,37;5,84;1,07;5,9;12,17;7,55;7,25;5,51;1,43;3,41;1,68;2,42;3,27;5,27;0;4,09;2,55;0;0;3,99;9,51;2,6;1,99;4,51;2,1;0,8;6,76;6,3;0,79;13,1;6,39;1,51;15,76;34,43;0;22,82;14,43;11,17;3,66;10,45;8,6;21,45;7,44;17,59;8,53;7,13;19,07;19,37;9,95;9,79;6,55;2,43;31,64;16,68;8,11;17,32;3,8;2,51;10,67;5,04;24,83;3,89;36,89;10,2;23,75;6,37;0;35,08;6,21;18,86;9,56;17,75;17,34;23,2;6,46;3,52;5,98
"GL000225.1";117271;117671;401;"*";4,62;3,64;5,18;-1,49;9,3e-08;4,33e-07;21,87;10,3;69,26;21,94;34,13;1,75;0;1,85;20,15;0,79;2,84;25,7;6,14;3,63;14,29;0;12,31;42,73;13,94;23,38;4,64;10,32;0;13,58;19,34;19,28;2,14;9,08;4,71;15,34;6,55;39,51;4,28;20,44;8,91;0;0;6,66;0;3,71;3,54;19,19;1,31;10,44;24,78;7,56;3,15;28,81;35,15;3,53;3,94;63,94;32,87;22,82;37,53;24,2;18,31;24,83;8,6;0;16,74;75,39;11,38;17,83;45,78;50,37;82,91;68,53;19,66;36,48;27,69;0;44,6;41,57;94,91;42,7;21,35;37,8;15,52;9,08;96,83;104,58;43,54;21,67;53,78;110,25;27,95;0;43,98;7,1;27,74;40,59;84;10,55;7,18
"KI270538.1";40080;40480;401;"*";4,7;3,97;5,18;-1,22;9,37e-08;4,36e-07;18,74;18,38;65,79;9,54;14,63;2,56;9,53;4,62;16,97;2,48;8,51;30,52;21,47;6,05;20,64;15,84;14,55;53,98;30,67;19,48;3,92;0;36,52;33,2;24,18;12,4;3,57;17,03;7,07;8,88;9,82;26,34;9,78;10,22;10,19;30,71;46,13;1,33;1,9;4,46;5,53;11,29;4,2;4,82;11,26;13,86;4,09;18,33;44,74;4,54;23,63;0;0;39,93;34,64;26,99;14,65;31,36;27,95;38,62;24,18;37,7;32,71;57,06;15,26;54,25;72,96;63,63;21,84;38,92;51,42;0;48,66;41,57;41,76;30,14;24,02;63;15,52;19,45;50,72;15,3;43,54;20,4;40,33;65,15;52,79;51,86;53,54;39,04;65,88;81,19;71,08;9,37;17,95
"GL000225.1";85483;85883;401;"*";5,83;5,09;6,32;-1,23;1,17e-07;5,41e-07;12,5;24,27;102,15;31,49;156,02;2,56;28,59;25,86;36,06;2,26;39,73;19,27;27,61;7,66;33,34;25,92;16,78;51,73;78,08;72,07;2,85;19,16;60,86;34,71;60,45;17,91;3,57;35,19;5,72;16,15;29,47;57,95;8,56;42,92;8,91;85,29;67,1;35,95;45,63;7,06;3,1;23,7;3,94;23,28;67,58;27,73;6,61;73,34;121,42;16,63;78,78;152,47;62,45;39,93;103,92;37,23;102,54;47,05;77,41;64,36;21,39;85,44;34,14;49,93;80,11;104,62;155,87;132,16;45,14;36,48;19,78;46,72;101,37;121,25;155,66;42,7;37,36;68,04;96,21;23,34;101,44;84,17;63,33;19,76;100,83;300,69;74,52;61,29;42,07;149,06;38,14;98,59;226,15;10,55;16,75
"GL000225.1";67337;67737;401;"*";7,78;7,06;8,25;-1,16;1,19e-07;5,49e-07;86,42;88,25;427,66;124,03;497,33;10,95;109,61;79,41;136,81;7,11;246,88;97,98;263,82;24,6;142,9;97,91;99,59;317,14;228,66;253,23;18,19;151,8;200,85;169,01;154,74;117,08;26,4;108,99;26,92;63,78;129,35;197,56;28,13;185,99;47,75;208,11;276,79;95,86;102,67;30,08;19,46;119,63;19,17;85,91;274,84;59,24;16,38;269,78;313,15;47,37;220,59;595,12;193,91;176,82;259,81;136,83;311,29;135,91;238,69;197,38;96,74;346,8;177,79;231,8;377,68;449,47;739,57;460,1;131,79;201,87;288,75;186,87;458,19;398,38;596,06;187,14;110,75;345,26;310,36;112,79;304,32;387,71;411,65;63,74;524,34;952,17;242,19;245,18;206,52;312,31;201,11;394,35;1014,46;44,53;39,49
"KI270442.1";92000;92400;401;"*";5,27;4,6;5,71;-1,14;1,28e-07;5,89e-07;28,11;18,38;34,63;13,36;82,89;2,91;30,18;6,46;25,45;2,14;59,59;20,88;49,08;4,84;26,99;21,6;21,26;83,22;61,35;40,91;4,64;19,16;42,6;19,62;43,52;26,17;18,55;19,3;5,05;12,92;21,29;31,61;6,73;20,44;8,28;17,06;54,52;15,98;22,82;7,06;6,19;6,77;3,94;8,83;40,55;17,65;2,2;60,24;83,08;10,58;7,88;83,61;32,87;54,19;37,53;29,79;29,3;47,05;30,1;34,33;29,77;55,29;51,2;128,38;15,26;11,62;79,59;63,63;21,84;34,05;79,11;46,72;89,21;55,43;64,54;36,42;22,68;78,13;46,55;22,04;55,33;40,81;106,87;19,76;87,39;80,18;65,21;70,72;55,45;67,43;58,95;81,19;122,77;12,3;21,54
"KI270744.1";108044;108444;401;"*";8,3;7,64;8,74;-1,08;1,32e-07;6,08e-07;281,14;110,31;152,36;90,64;531,46;22,72;147,73;37,86;99,69;14,56;394,45;305,17;414,14;21,38;133,37;113,74;145,47;627,53;237,02;598,02;33,53;179,81;639,07;256,53;210,35;75,76;99,88;332,64;50,48;146,12;229,23;368,78;122,9;204,38;174,43;153,53;243,24;166,43;256,68;69,45;44;306,98;55,66;69,85;322,14;94,53;21,42;419,08;763,69;96,25;189,08;1072,21;466,7;293,75;695,71;201,06;322,28;427,33;191,38;287,49;340,44;495,07;256,02;602,67;427,28;468,85;334,96;230,05;135,43;428,07;601,23;523,89;275,73;439,95;630,23;237,38;130,77;829,13;661,07;269,66;936,02;479,53;847,04;102,62;531,06;405,93;412,97;759,1;466,58;528,8;332,87;260,97;478,15;84,96;223,79
"KI270438.1";21290;21690;401;"*";6,23;5,49;6,71;-1,2;1,49e-07;6,82e-07;38,53;25,74;103,88;41,03;209,66;6,18;9,53;19,39;40,3;5,87;45,4;49,79;82,83;11,7;66,69;38,87;30,21;112,46;22,31;68,18;16,41;44,22;66,95;69,41;91,88;45,46;21,4;38,6;8,75;20,99;57,31;67,17;22,01;59,27;28,01;10,24;155,17;31,95;13,31;14,11;14,37;29,34;6,83;25,69;74,34;41,59;5,2;104,77;0;12,6;0;206,57;59,16;111,22;60,62;53,06;3,66;65,34;81,71;124,43;71,62;165,86;29,87;139,08;122,08;69,75;162,51;200,68;45,87;97,29;162,17;96,77;202,74;86,6;170,85;54,01;58,71;120,97;71,38;24,63;207,49;122,43;221,66;37,6;141,17;230,53;74,52;136,73;84,14;138,41;114,43;179,78;213,23;19,92;63,43
"GL000224.1";3696;4096;401;"*";8,93;8,3;9,35;-1,02;1,58e-07;7,24e-07;226,99;255,92;455,36;235,67;726,49;31,69;362,18;132,97;242,86;30,7;570,39;443,3;904,97;103,26;354,07;161,26;209,25;528,56;613,47;307,77;50,65;390,57;541,69;418;469,05;225,9;155,53;299,72;71,69;126,75;566,52;251,56;219,5;367,89;115,86;846,1;796,82;199,71;441,1;91,36;58,37;290,05;49,36;118,02;612,75;146,2;40;489,8;456,94;116,91;311,19;1205;256,35;539,01;649,52;406,78;655,54;326,7;606,4;755,19;312,54;1035,38;527,69;706,09;419,65;852,45;504,1;1429,25;284,69;627,51;814,82;931;855,56;568,13;831,45;385,59;192,15;562;1120,41;449,87;853,02;887,65;1076,61;212,24;1485,63;972,22;493,7;532,79;535,42;720,45;703,89;1362,82;846,46;119,52;382,95
"KI270467.1";3267;3667;401;"*";10,99;10,34;11,44;-1,07;1,71e-07;7,79e-07;442,53;842,02;2420,52;1106,77;5119,55;237,47;503,55;914,18;1012,81;185,1;1237,26;1415,03;3791,67;642,53;1084,44;868,19;754,19;3009,43;2216,87;2378,43;563,91;1460,57;3803,98;1771,58;1784,34;1593,7;597,85;432,54;260,16;756,44;1742,14;1310,48;207,27;1400,01;739,74;2401,83;2713,39;571,18;916,43;203,15;220,67;955,93;418,26;409,46;2212,21;1041,07;111,33;2805,24;2629,78;218,7;2190,14;3777,32;3141,99;3499,31;1249,96;775,4;3867,32;1734,15;1808,45;3827,42;2424,03;4483,29;1351,23;2082,6;2842,15;1914,14;3336,35;4444,37;1435,83;1264,76;5861,94;1431,53;3677,71;3484,98;2638,61;1431,84;1849,43;2928,43;2184,96;689,71;1872,03;3364,39;3126,92;963,07;3643,5;5572,71;1471,79;3611,62;3170,47;2494,95;4438,33;9963,11;4006,15;444,7;1488,73
"KI270709.1";14219;14619;401;"*";4,79;4,02;5,28;-1,27;1,71e-07;7,79e-07;15,62;16,18;31,17;10,5;82,89;5,71;25,42;2,77;9,54;1,35;0;20,88;39,88;4,03;36,52;0;1,12;33,74;22,31;23,38;10,7;22,11;48,69;31,69;29,01;8,26;11,41;12,49;6,39;15,34;11,46;5,27;1,83;8,18;10,82;6,82;46,13;14,65;1,9;8,54;4,2;11,29;2,1;8,03;22,53;12,6;5,67;31,43;44,74;5,04;0;73,78;36,15;14,26;34,64;40,96;25,64;26,14;10,75;55,78;8,37;25,13;22,76;10,7;45,78;38,75;19,9;19,58;27,67;48,64;98,89;10,01;36,49;31,18;30,37;18,84;49,37;45,36;15,52;11,67;83;68,87;67,29;26,13;127,72;90,21;6,21;47,15;59,28;46,14;24,27;133,38;19,38;14,06;38,3
"KI270438.1";103904;104304;401;"*";11,77;11,17;12,19;-1;1,76e-07;7,99e-07;1979,43;1722,28;2571,15;2035,12;5046,41;219,99;1810,89;971,43;2309,85;270,21;3947,32;1758,74;4245,69;411,01;2889,72;2175,52;1312,55;6261,77;5267,5;3200,45;244,68;4312,44;7321,91;4507,43;3677,48;2026,22;752,66;1925,44;569,12;1332,05;2020,48;1676,62;963;2346,29;856,88;3551,57;5825,19;1993,12;2099,05;732,4;377,66;1508,95;581,83;704,11;4356,83;1301,97;379,97;7242,27;6230,95;962,46;5203,56;6856,23;3381,91;4899,6;4532,2;2236,83;4409,33;2271,25;4042,67;3840,29;3420,24;8071,93;3971,2;6115,84;3135,91;7276,83;5939,77;6250,5;2647,39;2454,12;3449,13;3537,12;6864,78;3921,47;4028,15;2630,07;2022,9;5887,1;4090,59;2215,63;7013,21;9952,87;6443,84;1953,54;9189,41;6038,78;2921,84;6850,77;3803,41;5877,15;4063,85;5225,12;8296,61;977,87;1826,21
